,TICKER,CIK,YEAR,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END,YEAR-1 REVENUE,REVENUE,YEAR+1 REVENUE,YEAR-1 NET INCOME,NET INCOME,YEAR+1 NET INCOME,Y-1 PROFIT MARGIN,Y PROFIT MARGIN,Y+1 PROFIT MARGIN,CURRENT REVENUE YOY,NEXT REVENUE YOY,CURRENT PROFIT MARGIN YOY,NEXT PROFIT MARGIN YOY,YEAR-1 ROE,ROE,YEAR+1 ROE,YEAR-1 ASSET,ASSET,YEAR+1 ASSET
0,A US,0001090872,2002,0000891618-02-005622,10-K,2002-10-31,2002-12-20,Not found,AGILENT TECHNOLOGIES INC,1031,0.0,6010.0,6056.0,0.0,-1032.0,-2058.0,0.0,-0.1717138103161397,-0.3398282694848084,1.0,0.0134184561810795,0.0,-0.1681144591686686,0,-20.06610927,-55.24090726,0,8203.0,6297.0
1,A US,0001090872,2003,0001193125-03-098260,10-K,2003-10-31,2003-12-22,Not found,AGILENT TECHNOLOGIES INC,1031,6010.0,6056.0,4973.0,-1032.0,-2058.0,3307.0,-0.1717138103161397,-0.3398282694848084,0.6649909511361352,0.0134184561810795,-1.0,-0.1681144591686686,1.0048192206209436,-20.06610927,-55.24090726,85.57381291,8203.0,6297.0,7369.0
2,A US,0001090872,2006,0001047469-06-015256,10-K,2006-10-31,2006-12-22,20061222,AGILENT TECHNOLOGIES INC,1031,6056.0,4973.0,5420.0,-2058.0,3307.0,638.0,-0.3398282694848084,0.6649909511361352,0.1177121771217712,1.0,0.4338493501800979,1.0048192206209436,-0.547278774014364,-55.24090726,85.57381291,18.54112177,6297.0,7369.0,7554.0
3,A US,0001090872,2007,0001047469-07-010272,10-K,2007-10-31,2007-12-21,20071221,AGILENT TECHNOLOGIES INC,1031,4973.0,5420.0,5774.0,3307.0,638.0,693.0,0.6649909511361352,0.1177121771217712,0.1200207828195358,0.4338493501800979,-0.0077646354716268,-0.547278774014364,0.0023086056977646,85.57381291,18.54112177,23.92542724,7369.0,7554.0,7437.0
4,A US,0001090872,2008,0001047469-08-013312,10-K,2008-10-31,2008-12-19,20081219,AGILENT TECHNOLOGIES INC,1031,5420.0,5774.0,5444.0,638.0,693.0,684.0,0.1177121771217712,0.1200207828195358,0.1256429096252755,-0.0077646354716268,-1.0,0.0023086056977646,0.0056221268057396,18.54112177,23.92542724,23.85769097,7554.0,7437.0,9696.0
5,A US,0001090872,2010,0001047469-10-010499,10-K,2010-10-31,2010-12-20,20101217,AGILENT TECHNOLOGIES INC,1031,5774.0,5444.0,6615.0,693.0,684.0,1012.0,0.1200207828195358,0.1256429096252755,0.1529856386999244,0.0,0.0,0.0056221268057396,0.0273427290746488,23.92542724,23.85769097,26.85774947,7437.0,9696.0,9057.0
6,A US,0001090872,2011,0001047469-11-010124,10-K,2011-10-31,2011-12-16,20111216,AGILENT TECHNOLOGIES INC,1031,5444.0,6615.0,6858.0,684.0,1012.0,1153.0,0.1256429096252755,0.1529856386999244,0.1681248177311169,0.0,0.0,0.0273427290746488,0.0151391790311925,23.85769097,26.85774947,24.29926238,9696.0,9057.0,10536.0
7,A US,0001090872,2012,0001090872-12-000018,10-K,2012-10-31,2012-12-20,20121220,AGILENT TECHNOLOGIES INC,1031,6615.0,6858.0,3894.0,1012.0,1153.0,734.0,0.1529856386999244,0.1681248177311169,0.1884951206985105,0.0,0.0,0.0151391790311925,0.0203703029673935,26.85774947,24.29926238,14.02369125,9057.0,10536.0,10686.0
8,A US,0001090872,2013,0001090872-13-000029,10-K,2013-10-31,2013-12-19,20131219,AGILENT TECHNOLOGIES INC,1031,6858.0,3894.0,4048.0,1153.0,734.0,549.0,0.1681248177311169,0.1884951206985105,0.1356225296442687,0.0,0.0,0.0203703029673935,-0.0528725910542417,24.29926238,14.02369125,10.37120997,10536.0,10686.0,10815.0
9,A US,0001090872,2014,0001090872-14-000045,10-K,2014-10-31,2014-12-22,20141222,AGILENT TECHNOLOGIES INC,1031,3894.0,4048.0,4202.0,734.0,549.0,462.0,0.1884951206985105,0.1356225296442687,0.1099476439790576,0.0,0.0454280236725848,-0.0528725910542417,-0.0256748856652111,14.02369125,10.37120997,10.98692033,10686.0,10815.0,7794.0
10,A US,0001090872,2016,0001090872-16-000082,10-K,2016-10-31,2016-12-20,20161220,AGILENT TECHNOLOGIES INC,1031,4048.0,4202.0,4472.0,549.0,462.0,684.0,0.1356225296442687,0.1099476439790576,0.1529516994633273,0.0454280236725848,0.1173656514112581,-0.0256748856652111,0.0430040554842697,10.37120997,10.98692033,15.07604144,10815.0,7794.0,8426.0
11,A US,0001090872,2017,0001090872-17-000018,10-K,2017-10-31,2017-12-21,20171221,AGILENT TECHNOLOGIES INC,1031,4202.0,4472.0,5163.0,462.0,684.0,1071.0,0.1099476439790576,0.1529516994633273,0.2074375363160953,0.1173656514112581,-0.4935064935064935,0.0430040554842697,0.0544858368527679,10.98692033,15.07604144,22.99516908,7794.0,8426.0,9452.0
12,A US,0001090872,2019,0001090872-19-000022,10-K,2019-10-31,2019-12-19,20191219,"AGILENT TECHNOLOGIES, INC.",1031,4472.0,5163.0,5339.0,684.0,1071.0,719.0,0.1529516994633273,0.2074375363160953,0.1346694137478928,-0.4935064935064935,-0.2590870667793745,0.0544858368527679,-0.0727681225682024,15.07604144,22.99516908,14.94647126,8426.0,9452.0,9627.0
13,A US,0001090872,2020,0001090872-20-000020,10-K,2020-10-31,2020-12-18,20201217,"AGILENT TECHNOLOGIES, INC.",1031,5163.0,5339.0,6319.0,1071.0,719.0,1210.0,0.2074375363160953,0.1346694137478928,0.1914859946194018,-0.2590870667793745,-1.0,-0.0727681225682024,0.0568165808715089,22.99516908,14.94647126,23.58214773,9452.0,9627.0,10705.0
14,A US,0001090872,2021,0001090872-21-000027,10-K,2021-10-31,2021-12-17,20211217,"AGILENT TECHNOLOGIES, INC.",1031,5339.0,6319.0,6848.0,719.0,1210.0,1254.0,0.1346694137478928,0.1914859946194018,0.1831191588785046,1.0,0.391260385984965,0.0568165808715089,-0.0083668357408971,14.94647126,23.58214773,23.45240322,9627.0,10705.0,10532.0
15,A US,0001090872,2022,0001090872-22-000026,10-K,2022-10-31,2022-12-21,20221220,"AGILENT TECHNOLOGIES, INC.",1031,6319.0,6848.0,6833.0,1210.0,1254.0,1240.0,0.1914859946194018,0.1831191588785046,0.1814722669398507,0.391260385984965,0.2997756501406136,-0.0083668357408971,-0.0016468919386539,23.58214773,23.45240322,22.24215247,10705.0,10532.0,10763.0
16,A US,0001090872,2023,0001090872-23-000020,10-K,2023-10-31,2023-12-20,20231219,"AGILENT TECHNOLOGIES, INC.",1031,6848.0,6833.0,0.0,1254.0,1240.0,0.0,0.1831191588785046,0.1814722669398507,0.0,0.2997756501406136,-0.1767880585403802,-0.0016468919386539,0.0,23.45240322,22.24215247,0,10532.0,10763.0,0
17,AAL US,0000006201,2014,0001193125-15-061145,10-K,2014-12-31,2015-02-25,20150225,American Airlines Group Inc.,1231,0.0,42650.0,0.0,0.0,2882.0,0.0,0.0,0.0675732708089097,0.0,-0.1767880585403802,-0.6484259642076664,0.0,0.0,0,nan,0,0,43225.0,0
18,AAPL US,0000320193,2001,0000912057-01-544436,10-K405,2001-09-29,2001-12-21,Not found,APPLE COMPUTER INC,0930,0.0,5363.0,5742.0,0.0,-25.0,65.0,0.0,-0.0046615700167816,0.011320097526994,-0.6484259642076664,-0.4425871482570349,0.0,0.0159816675437757,0,-0.628851717,1.621958827,0,6021.0,6298.0
19,AAPL US,0000320193,2002,0001047469-02-007674,10-K,2002-09-28,2002-12-19,Not found,APPLE COMPUTER INC,0930,5363.0,5742.0,6207.0,-25.0,65.0,69.0,-0.0046615700167816,0.011320097526994,0.0111164813919768,-0.4425871482570349,-0.2967148884870403,0.0159816675437757,-0.0002036161350172,-0.628851717,1.621958827,1.659052657,6021.0,6298.0,6815.0
20,AAPL US,0000320193,2003,0001047469-03-041604,10-K,2003-09-27,2003-12-19,Not found,APPLE COMPUTER INC,0930,5742.0,6207.0,8279.0,65.0,69.0,276.0,0.011320097526994,0.0111164813919768,0.0333373595844908,-0.2967148884870403,0.6012427683736876,-0.0002036161350172,0.022220878192514,1.621958827,1.659052657,5.936122164,6298.0,6815.0,8050.0
21,AAPL US,0000320193,2004,0001047469-04-035975,10-K,2004-09-25,2004-12-03,20041202,APPLE COMPUTER INC,0930,6207.0,8279.0,19315.0,69.0,276.0,1989.0,0.0111164813919768,0.0333373595844908,0.1029769609112089,0.6012427683736876,0.5153218252375218,0.022220878192514,0.069639601326718,1.659052657,5.936122164,22.7965616,6815.0,8050.0,17205.0
22,AAPL US,0000320193,2006,0001104659-06-084288,10-K,2006-09-30,2006-12-29,20061229,APPLE COMPUTER INC,0930,8279.0,19315.0,24578.0,276.0,1989.0,3495.0,0.0333373595844908,0.1029769609112089,0.1422003417690617,0.5153218252375218,-1.0,0.069639601326718,0.0392233808578528,5.936122164,22.7965616,28.51315521,8050.0,17205.0,24878.0
23,AAPL US,0000320193,2007,0001047469-07-009340,10-K,2007-09-29,2007-11-15,20071115,APPLE INC,0930,19315.0,24578.0,37491.0,1989.0,3495.0,6119.0,0.1029769609112089,0.1422003417690617,0.1632125043343736,1.0,-1.0,0.0392233808578528,0.0210121625653118,22.7965616,28.51315521,33.23015097,17205.0,24878.0,36171.0
24,AAPL US,0000320193,2008,0001193125-08-224958,10-K,2008-09-27,2008-11-05,20081105,APPLE INC,0930,24578.0,37491.0,42905.0,3495.0,6119.0,8235.0,0.1422003417690617,0.1632125043343736,0.1919356718331197,1.0,0.0041999353856094,0.0210121625653118,0.028723167498746,28.51315521,33.23015097,30.5356249,24878.0,36171.0,47501.0
25,AAPL US,0000320193,2009,0001193125-09-214859,10-K,2009-09-26,2009-10-27,20091027,APPLE INC,0926,37491.0,42905.0,65225.0,6119.0,8235.0,14013.0,0.1632125043343736,0.1919356718331197,0.2148409352242238,0.0041999353856094,0.0252320985384686,0.028723167498746,0.0229052633911041,33.23015097,30.5356249,35.28345356,36171.0,47501.0,75183.0
26,AAPL US,0000320193,2010,0001193125-10-238044,10-K,2010-09-25,2010-10-27,20101027,APPLE INC,0925,42905.0,65225.0,108249.0,8235.0,14013.0,25922.0,0.1919356718331197,0.2148409352242238,0.2394664153941376,0.0252320985384686,-0.0071726363921638,0.0229052633911041,0.0246254801699137,30.5356249,35.28345356,41.67323119,47501.0,75183.0,116371.0
27,AAPL US,0000320193,2011,0001193125-11-282113,10-K,2011-09-24,2011-10-26,20111026,APPLE INC,0930,65225.0,108249.0,156508.0,14013.0,25922.0,41733.0,0.2148409352242238,0.2394664153941376,0.2666509060239732,-0.0071726363921638,-0.0018512665372285,0.0246254801699137,0.0271844906298356,35.28345356,41.67323119,42.84152445,75183.0,116371.0,176064.0
28,AAPL US,0000320193,2012,0001193125-12-444068,10-K,2012-09-29,2012-10-31,20121031,APPLE INC,0929,108249.0,156508.0,170910.0,25922.0,41733.0,37037.0,0.2394664153941376,0.2666509060239732,0.2167046983792639,-0.0018512665372285,-0.1177960734642178,0.0271844906298356,-0.0499462076447093,41.67323119,42.84152445,30.6396039,116371.0,176064.0,207000.0
29,AAPL US,0000320193,2013,0001193125-13-416534,10-K,2013-09-28,2013-10-30,20131029,APPLE INC,0929,156508.0,170910.0,182795.0,41733.0,37037.0,39510.0,0.2666509060239732,0.2167046983792639,0.2161437676085232,-0.1177960734642178,-1.0,-0.0499462076447093,-0.0005609307707407,42.84152445,30.6396039,33.61180114,176064.0,207000.0,231839.0
30,AAPL US,0000320193,2014,0001193125-14-383437,10-K,2014-09-27,2014-10-27,20141027,APPLE INC,0927,170910.0,182795.0,233715.0,37037.0,39510.0,53394.0,0.2167046983792639,0.2161437676085232,0.2284577369873563,1.0,-1.0,-0.0005609307707407,0.0123139693788331,30.6396039,33.61180114,46.24819187,207000.0,231839.0,290345.0
31,AAPL US,0000320193,2015,0001193125-15-356351,10-K,2015-09-26,2015-10-28,20151028,APPLE INC,0927,182795.0,233715.0,215639.0,39510.0,53394.0,45687.0,0.2161437676085232,0.2284577369873563,0.211867983064288,1.0,-0.1274458539507429,0.0123139693788331,-0.0165897539230683,33.61180114,46.24819187,36.90328105,231839.0,290345.0,321686.0
32,AAPL US,0000320193,2016,0001628280-16-020309,10-K,2016-09-24,2016-10-26,20161026,APPLE INC,0924,233715.0,215639.0,229234.0,53394.0,45687.0,48351.0,0.2284577369873563,0.211867983064288,0.2109242084507533,-0.1274458539507429,0.1626786730779682,-0.0165897539230683,-0.0009437746135346,46.24819187,36.90328105,36.86750846,290345.0,321686.0,375319.0
33,AAPL US,0000320193,2017,0000320193-17-000070,10-K,2017-09-30,2017-11-03,20171103,APPLE INC,0930,215639.0,229234.0,265595.0,45687.0,48351.0,59531.0,0.211867983064288,0.2109242084507533,0.2241420207458724,0.1626786730779682,-0.3832141750028293,-0.0009437746135346,0.013217812295119,36.90328105,36.86750846,49.36358284,321686.0,375319.0,365725.0
