,Ticker,CIK,Year,Year-1 Revenue,Revenue,Year+1 Revenue,Year-1 Net Income,Net Income,Year+1 Net Income,Accession Number,Conformed Submission Type,Conformed Period Of Report,Filed As Of Date,Date As Of Change,Company Conformed Name,Fiscal Year End,Y-1 Profit Margin,Y Profit Margin,Y+1 Profit Margin,Current Revenue YOY,Next Revenue YOY,Current Profit Margin YOY,Next Profit Margin YOY
0,A US            d,0001090872,2002,8396,6010,6056,174,-1032,-2058,0000891618-02-005622,10-K,2002-10-31,2002-12-20,Not found,AGILENT TECHNOLOGIES INC,1031,0.020724154359218677,-0.17171381031613978,-0.33982826948480843,0.2446544151641239,0.013418456181079513,,-0.16811445916866866
1,A US            d,0001090872,2003,6010,6056,5160,-1032,-2058,369,0001193125-03-098260,10-K,2003-10-31,2003-12-22,Not found,AGILENT TECHNOLOGIES INC,1031,-0.17171381031613978,-0.33982826948480843,0.07151162790697674,0.013418456181079513,-0.08118571461297047,-0.16811445916866866,0.41133989739178517
2,A US            d,0001090872,2006,4685,4973,5420,327,3307,638,0001047469-06-015256,10-K,2006-10-31,2006-12-22,20061222,AGILENT TECHNOLOGIES INC,1031,0.06979722518676627,0.6649909511361352,0.11771217712177122,-0.007018802767157426,0.16561092103926028,1.0048192206209436,-0.547278774014364
3,A US            d,0001090872,2007,4973,5420,5774,3307,638,693,0001047469-07-010272,10-K,2007-10-31,2007-12-21,20071221,AGILENT TECHNOLOGIES INC,1031,0.6649909511361352,0.11771217712177122,0.12002078281953585,0.23012690109464307,-0.0077646354716268216,-0.547278774014364,0.002308605697764629
4,A US            d,0001090872,2008,5420,5774,4481,638,693,-31,0001047469-08-013312,10-K,2008-10-31,2008-12-19,20081219,AGILENT TECHNOLOGIES INC,1031,0.11771217712177122,0.12002078281953585,-0.00691809863869672,-0.0077646354716268216,-1.0,0.002308605697764629,-0.12693888145823257
5,A US            d,0001090872,2010,4481,5444,6615,-31,684,1012,0001047469-10-010499,10-K,2010-10-31,2010-12-20,20101217,AGILENT TECHNOLOGIES INC,1031,-0.00691809863869672,0.12564290962527552,0.1529856386999244,,,0.0056221268057396745,0.02734272907464888
6,A US            d,0001090872,2011,5444,6615,6858,684,1012,1153,0001047469-11-010124,10-K,2011-10-31,2011-12-16,20111216,AGILENT TECHNOLOGIES INC,1031,0.12564290962527552,0.1529856386999244,0.16812481773111695,,,0.02734272907464888,0.015139179031192551
7,A US            d,0001090872,2012,6615,6858,3894,1012,1153,734,0001090872-12-000018,10-K,2012-10-31,2012-12-20,20121220,AGILENT TECHNOLOGIES INC,1031,0.1529856386999244,0.16812481773111695,0.18849512069851052,,,0.015139179031192551,0.02037030296739356
8,A US            d,0001090872,2013,6858,3894,4048,1153,734,549,0001090872-13-000029,10-K,2013-10-31,2013-12-19,20131219,AGILENT TECHNOLOGIES INC,1031,0.16812481773111695,0.18849512069851052,0.13562252964426877,,,0.02037030296739356,-0.05287259105424175
9,A US            d,0001090872,2014,3894,4048,4038,734,549,401,0001090872-14-000045,10-K,2014-10-31,2014-12-22,20141222,AGILENT TECHNOLOGIES INC,1031,0.18849512069851052,0.13562252964426877,0.0993065874195146,,0.04542802367258481,-0.05287259105424175,-0.036315942224754164
