TICKERS,TICKER FROM BLOOMBERG,CIK,YEAR,REVENUE,INCOME,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END
A,A US            d,1090872,2002,6010,-1032,0000891618-02-005622,10-K,20021031,20021220,Not found,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2003,6056,-2058,0001193125-03-098260,10-K,20031031,20031222,Not found,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2006,4973,3307,0001047469-06-015256,10-K,20061031,20061222,20061222,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2007,5420,638,0001047469-07-010272,10-K,20071031,20071221,20071221,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2008,5774,693,0001047469-08-013312,10-K,20081031,20081219,20081219,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2010,5444,684,0001047469-10-010499,10-K,20101031,20101220,20101217,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2011,6615,1012,0001047469-11-010124,10-K,20111031,20111216,20111216,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2012,6858,1153,0001090872-12-000018,10-K,20121031,20121220,20121220,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2013,3894,734,0001090872-13-000029,10-K,20131031,20131219,20131219,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2014,4048,549,0001090872-14-000045,10-K,20141031,20141222,20141222,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2016,4202,462,0001090872-16-000082,10-K,20161031,20161220,20161220,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2017,4472,684,0001090872-17-000018,10-K,20171031,20171221,20171221,AGILENT TECHNOLOGIES INC,1031
A,A US            d,1090872,2019,5163,1071,0001090872-19-000022,10-K,20191031,20191219,20191219,"AGILENT TECHNOLOGIES, INC.",1031
A,A US            d,1090872,2020,5339,719,0001090872-20-000020,10-K,20201031,20201218,20201217,"AGILENT TECHNOLOGIES, INC.",1031
A,A US            d,1090872,2021,6319,1210,0001090872-21-000027,10-K,20211031,20211217,20211217,"AGILENT TECHNOLOGIES, INC.",1031
A,A US            d,1090872,2022,6848,1254,0001090872-22-000026,10-K,20221031,20221221,20221220,"AGILENT TECHNOLOGIES, INC.",1031
A,A US            d,1090872,2023,6833,1240,0001090872-23-000020,10-K,20231031,20231220,20231219,"AGILENT TECHNOLOGIES, INC.",1031
AAL,AAL US         d,6201,2014,42650,2882,0001193125-15-061145,10-K,20141231,20150225,20150225,American Airlines Group Inc.,1231
AAPL,AAPL US        d,320193,2001,5363,-25,0000912057-01-544436,10-K405,20010929,20011221,Not found,APPLE COMPUTER INC,930
AAPL,AAPL US        d,320193,2002,5742,65,0001047469-02-007674,10-K,20020928,20021219,Not found,APPLE COMPUTER INC,930
AAPL,AAPL US        d,320193,2003,6207,69,0001047469-03-041604,10-K,20030927,20031219,Not found,APPLE COMPUTER INC,930
AAPL,AAPL US        d,320193,2004,8279,276,0001047469-04-035975,10-K,20040925,20041203,20041202,APPLE COMPUTER INC,930
AAPL,AAPL US        d,320193,2006,19315,1989,0001104659-06-084288,10-K,20060930,20061229,20061229,APPLE COMPUTER INC,930
AAPL,AAPL US        d,320193,2007,24578,3495,0001047469-07-009340,10-K,20070929,20071115,20071115,APPLE INC,930
AAPL,AAPL US        d,320193,2008,37491,6119,0001193125-08-224958,10-K,20080927,20081105,20081105,APPLE INC,930
AAPL,AAPL US        d,320193,2009,42905,8235,0001193125-09-214859,10-K,20090926,20091027,20091027,APPLE INC,926
AAPL,AAPL US        d,320193,2010,65225,14013,0001193125-10-238044,10-K,20100925,20101027,20101027,APPLE INC,925
AAPL,AAPL US        d,320193,2011,108249,25922,0001193125-11-282113,10-K,20110924,20111026,20111026,APPLE INC,930
AAPL,AAPL US        d,320193,2012,156508,41733,0001193125-12-444068,10-K,20120929,20121031,20121031,APPLE INC,929
AAPL,AAPL US        d,320193,2013,170910,37037,0001193125-13-416534,10-K,20130928,20131030,20131029,APPLE INC,929
