,TICKERS,TICKER FROM BLOOMBERG,CIK,YEAR,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END,YEAR-1 REVENUE,REVENUE,YEAR+1 REVENUE,YEAR-1 NET INCOME,INCOME,YEAR+1 NET INCOME,Y-1 PROFIT MARGIN,Y PROFIT MARGIN,Y+1 PROFIT MARGIN,CURRENT REVENUE YOY,NEXT REVENUE YOY,CURRENT PROFIT MARGIN YOY,NEXT PROFIT MARGIN YOY
0,A,A US            d,1090872,2002,0000891618-02-005622,10-K,20021031,20021220,Not found,AGILENT TECHNOLOGIES INC,1031,0,6010,6056,0,-1032,-2058,,-0.17171381031613978,-0.33982826948480843,inf,0.007653910149750416,,-0.16811445916866866
1,A,A US            d,1090872,2003,0001193125-03-098260,10-K,20031031,20031222,Not found,AGILENT TECHNOLOGIES INC,1031,6010,6056,4973,-1032,-2058,3307,-0.17171381031613978,-0.33982826948480843,0.6649909511361352,0.007653910149750416,-0.17883091149273447,-0.16811445916866866,1.0048192206209436
2,A,A US            d,1090872,2006,0001047469-06-015256,10-K,20061031,20061222,20061222,AGILENT TECHNOLOGIES INC,1031,6056,4973,5420,-2058,3307,638,-0.33982826948480843,0.6649909511361352,0.11771217712177122,-0.17883091149273447,0.08988538105771164,1.0048192206209436,-0.547278774014364
3,A,A US            d,1090872,2007,0001047469-07-010272,10-K,20071031,20071221,20071221,AGILENT TECHNOLOGIES INC,1031,4973,5420,5774,3307,638,693,0.6649909511361352,0.11771217712177122,0.12002078281953585,0.08988538105771164,0.06531365313653137,-0.547278774014364,0.002308605697764629
4,A,A US            d,1090872,2008,0001047469-08-013312,10-K,20081031,20081219,20081219,AGILENT TECHNOLOGIES INC,1031,5420,5774,5444,638,693,684,0.11771217712177122,0.12002078281953585,0.12564290962527552,0.06531365313653137,-0.0571527537235885,0.002308605697764629,0.0056221268057396745
5,A,A US            d,1090872,2010,0001047469-10-010499,10-K,20101031,20101220,20101217,AGILENT TECHNOLOGIES INC,1031,5774,5444,6615,693,684,1012,0.12002078281953585,0.12564290962527552,0.1529856386999244,-0.0571527537235885,0.2150991917707568,0.0056221268057396745,0.02734272907464888
6,A,A US            d,1090872,2011,0001047469-11-010124,10-K,20111031,20111216,20111216,AGILENT TECHNOLOGIES INC,1031,5444,6615,6858,684,1012,1153,0.12564290962527552,0.1529856386999244,0.16812481773111695,0.2150991917707568,0.036734693877551024,0.02734272907464888,0.015139179031192551
7,A,A US            d,1090872,2012,0001090872-12-000018,10-K,20121031,20121220,20121220,AGILENT TECHNOLOGIES INC,1031,6615,6858,3894,1012,1153,734,0.1529856386999244,0.16812481773111695,0.18849512069851052,0.036734693877551024,-0.4321959755030621,0.015139179031192551,0.02037030296739356
8,A,A US            d,1090872,2013,0001090872-13-000029,10-K,20131031,20131219,20131219,AGILENT TECHNOLOGIES INC,1031,6858,3894,4048,1153,734,549,0.16812481773111695,0.18849512069851052,0.13562252964426877,-0.4321959755030621,0.03954802259887006,0.02037030296739356,-0.05287259105424175
9,A,A US            d,1090872,2014,0001090872-14-000045,10-K,20141031,20141222,20141222,AGILENT TECHNOLOGIES INC,1031,3894,4048,4202,734,549,462,0.18849512069851052,0.13562252964426877,0.1099476439790576,0.03954802259887006,0.03804347826086957,-0.05287259105424175,-0.025674885665211172
10,A,A US            d,1090872,2016,0001090872-16-000082,10-K,20161031,20161220,20161220,AGILENT TECHNOLOGIES INC,1031,4048,4202,4472,549,462,684,0.13562252964426877,0.1099476439790576,0.15295169946332737,0.03804347826086957,0.06425511661113756,-0.025674885665211172,0.043004055484269776
11,A,A US            d,1090872,2017,0001090872-17-000018,10-K,20171031,20171221,20171221,AGILENT TECHNOLOGIES INC,1031,4202,4472,5163,462,684,1071,0.1099476439790576,0.15295169946332737,0.2074375363160953,0.06425511661113756,0.1545169946332737,0.043004055484269776,0.05448583685276792
12,A,A US            d,1090872,2019,0001090872-19-000022,10-K,20191031,20191219,20191219,"AGILENT TECHNOLOGIES, INC.",1031,4472,5163,5339,684,1071,719,0.15295169946332737,0.2074375363160953,0.13466941374789287,0.1545169946332737,0.03408870811543676,0.05448583685276792,-0.07276812256820242
13,A,A US            d,1090872,2020,0001090872-20-000020,10-K,20201031,20201218,20201217,"AGILENT TECHNOLOGIES, INC.",1031,5163,5339,6319,1071,719,1210,0.2074375363160953,0.13466941374789287,0.1914859946194018,0.03408870811543676,0.18355497284135605,-0.07276812256820242,0.056816580871508926
14,A,A US            d,1090872,2021,0001090872-21-000027,10-K,20211031,20211217,20211217,"AGILENT TECHNOLOGIES, INC.",1031,5339,6319,6848.0,719,1210,1254.0,0.13466941374789287,0.1914859946194018,0.18311915887850466,0.18355497284135605,0.08371577781294509,0.056816580871508926,-0.008366835740897138
15,A,A US            d,1090872,2022,0001090872-22-000026,10-K,20221031,20221221,20221220,"AGILENT TECHNOLOGIES, INC.",1031,6319,6848.0,6833,1210,1254.0,1240,0.1914859946194018,0.18311915887850466,0.18147226693985072,0.08371577781294509,-0.0021904205607476634,-0.008366835740897138,-0.0016468919386539438
16,A,A US            d,1090872,2023,0001090872-23-000020,10-K,20231031,20231220,20231219,"AGILENT TECHNOLOGIES, INC.",1031,6848.0,6833,0,1254.0,1240,0,0.18311915887850466,0.18147226693985072,,-0.0021904205607476634,-1.0,-0.0016468919386539438,
17,AAL,AAL US         d,6201,2014,0001193125-15-061145,10-K,20141231,20150225,20150225,American Airlines Group Inc.,1231,0,42650,0,0,2882,0,,0.06757327080890974,,inf,-1.0,,
18,AAPL,AAPL US        d,320193,2001,0000912057-01-544436,10-K405,20010929,20011221,Not found,APPLE COMPUTER INC,0930,0,5363,5742,0,-25,65,,-0.004661570016781652,0.011320097526994078,inf,0.07066940145440985,,0.01598166754377573
19,AAPL,AAPL US        d,320193,2002,0001047469-02-007674,10-K,20020928,20021219,Not found,APPLE COMPUTER INC,0930,5363,5742,6207,-25,65,69,-0.004661570016781652,0.011320097526994078,0.011116481391976801,0.07066940145440985,0.08098223615464994,0.01598166754377573,-0.00020361613501727709
20,AAPL,AAPL US        d,320193,2003,0001047469-03-041604,10-K,20030927,20031219,Not found,APPLE COMPUTER INC,0930,5742,6207,8279,65,69,276,0.011320097526994078,0.011116481391976801,0.03333735958449088,0.08098223615464994,0.3338166586112454,-0.00020361613501727709,0.02222087819251408
21,AAPL,AAPL US        d,320193,2004,0001047469-04-035975,10-K,20040925,20041203,20041202,APPLE COMPUTER INC,0930,6207,8279,19315,69,276,1989,0.011116481391976801,0.03333735958449088,0.1029769609112089,0.3338166586112454,1.3330112332407296,0.02222087819251408,0.06963960132671802
22,AAPL,AAPL US        d,320193,2006,0001104659-06-084288,10-K,20060930,20061229,20061229,APPLE COMPUTER INC,0930,8279,19315,24578,276,1989,3495,0.03333735958449088,0.1029769609112089,0.14220034176906177,1.3330112332407296,0.272482526533782,0.06963960132671802,0.03922338085785286
23,AAPL,AAPL US        d,320193,2007,0001047469-07-009340,10-K,20070929,20071115,20071115,APPLE INC,0930,19315,24578,37491,1989,3495,6119,0.1029769609112089,0.14220034176906177,0.1632125043343736,0.272482526533782,0.5253885588737895,0.03922338085785286,0.021012162565311826
24,AAPL,AAPL US        d,320193,2008,0001193125-08-224958,10-K,20080927,20081105,20081105,APPLE INC,0930,24578,37491,42905,3495,6119,8235,0.14220034176906177,0.1632125043343736,0.1919356718331197,0.5253885588737895,0.14440799125123363,0.021012162565311826,0.028723167498746094
25,AAPL,AAPL US        d,320193,2009,0001193125-09-214859,10-K,20090926,20091027,20091027,APPLE INC,0926,37491,42905,65225,6119,8235,14013,0.1632125043343736,0.1919356718331197,0.21484093522422384,0.14440799125123363,0.5202190886843026,0.028723167498746094,0.022905263391104158
26,AAPL,AAPL US        d,320193,2010,0001193125-10-238044,10-K,20100925,20101027,20101027,APPLE INC,0925,42905,65225,108249,8235,14013,25922,0.1919356718331197,0.21484093522422384,0.2394664153941376,0.5202190886843026,0.6596243771559984,0.022905263391104158,0.024625480169913755
27,AAPL,AAPL US        d,320193,2011,0001193125-11-282113,10-K,20110924,20111026,20111026,APPLE INC,0930,65225,108249,156508,14013,25922,41733,0.21484093522422384,0.2394664153941376,0.26665090602397323,0.6596243771559984,0.44581474193756987,0.024625480169913755,0.027184490629835634
28,AAPL,AAPL US        d,320193,2012,0001193125-12-444068,10-K,20120929,20121031,20121031,APPLE INC,0929,108249,156508,170910,25922,41733,37037,0.2394664153941376,0.26665090602397323,0.21670469837926393,0.44581474193756987,0.09202085516395328,0.027184490629835634,-0.049946207644709306
29,AAPL,AAPL US        d,320193,2013,0001193125-13-416534,10-K,20130928,20131030,20131029,APPLE INC,0929,156508,170910,182795,41733,37037,39510,0.26665090602397323,0.21670469837926393,0.21614376760852322,0.09202085516395328,0.06953952372593762,-0.049946207644709306,-0.0005609307707407085
30,AAPL,AAPL US        d,320193,2014,0001193125-14-383437,10-K,20140927,20141027,20141027,APPLE INC,0927,170910,182795,233715,37037,39510,53394,0.21670469837926393,0.21614376760852322,0.22845773698735639,0.06953952372593762,0.2785634180365984,-0.0005609307707407085,0.012313969378833167
31,AAPL,AAPL US        d,320193,2015,0001193125-15-356351,10-K,20150926,20151028,20151028,APPLE INC,0927,182795,233715,215639,39510,53394,45687,0.21614376760852322,0.22845773698735639,0.211867983064288,0.2785634180365984,-0.07734206191301371,0.012313969378833167,-0.016589753923068384
32,AAPL,AAPL US        d,320193,2016,0001628280-16-020309,10-K,20160924,20161026,20161026,APPLE INC,0924,233715,215639,229234,53394,45687,48351,0.22845773698735639,0.211867983064288,0.21092420845075338,-0.07734206191301371,0.06304518199398068,-0.016589753923068384,-0.0009437746135346203
33,AAPL,AAPL US        d,320193,2017,0000320193-17-000070,10-K,20170930,20171103,20171103,APPLE INC,0930,215639,229234,265595,45687,48351,59531,0.211867983064288,0.21092420845075338,0.22414202074587247,0.06304518199398068,0.15861957650261305,-0.0009437746135346203,0.013217812295119091
34,AAPL,AAPL US        d,320193,2018,0000320193-18-000145,10-K,20180929,20181105,20181105,APPLE INC,0930,229234,265595,260174,48351,59531,55256,0.21092420845075338,0.22414202074587247,0.21238094505984456,0.15861957650261305,-0.020410775805267418,0.013217812295119091,-0.011761075686027911
35,AAPL,AAPL US        d,320193,2019,0000320193-19-000119,10-K,20190928,20191031,20191030,Apple Inc.,0928,265595,260174,274515,59531,55256,57411,0.22414202074587247,0.21238094505984456,0.20913611278072236,-0.020410775805267418,0.055120803769784836,-0.011761075686027911,-0.0032448322791222006
36,AAPL,AAPL US        d,320193,2020,0000320193-20-000096,10-K,20200926,20201030,20201029,Apple Inc.,0926,260174,274515,365817,55256,57411,94680,0.21238094505984456,0.20913611278072236,0.2588179335569424,0.055120803769784836,0.33259384733074693,-0.0032448322791222006,0.04968182077622002
37,AAPL,AAPL US        d,320193,2021,0000320193-21-000105,10-K,20210925,20211029,20211028,Apple Inc.,0925,274515,365817,394328.0,57411,94680,99803.0,0.20913611278072236,0.2588179335569424,0.2530964070519973,0.33259384733074693,0.07793787604184606,0.04968182077622002,-0.0057215265049450625
38,AAPL,AAPL US        d,320193,2022,0000320193-22-000108,10-K,20220924,20221028,20221027,Apple Inc.,0924,365817,394328.0,383285,94680,99803.0,96995,0.2588179335569424,0.2530964070519973,0.2530623426432028,0.07793787604184606,-0.028004605303199367,-0.0057215265049450625,-3.406440879449857e-05
39,AAPL,AAPL US        d,320193,2023,0000320193-23-000106,10-K,20230930,20231103,20231102,Apple Inc.,0930,394328.0,383285,0,99803.0,96995,0,0.2530964070519973,0.2530623426432028,,-0.028004605303199367,-1.0,-3.406440879449857e-05,
40,ABBV,ABBV US       d,1551152,2015,0001047469-16-010239,10-K,20151231,20160219,20160219,AbbVie Inc.,1231,0,22859,0,0,5144,0,,0.22503171617306095,,inf,-1.0,,
41,ABNB,ABNB US       d,1559720,2020,0001559720-21-000010,10-K,20201231,20210226,20210226,"Airbnb, Inc.",1231,0,3378.2,5992,0,-4584.72,-352,,-1.3571487774554498,-0.05874499332443257,inf,0.7737256527144635,,1.2984037841310172
42,ABNB,ABNB US       d,1559720,2021,0001559720-22-000006,10-K,20211231,20220225,20220225,"Airbnb, Inc.",1231,3378.2,5992,8399.0,-4584.72,-352,1893.0,-1.3571487774554498,-0.05874499332443257,0.2253839742826527,0.7737256527144635,0.4017022696929239,1.2984037841310172,0.2841289676070853
43,ABNB,ABNB US       d,1559720,2022,0001559720-23-000003,10-K,20221231,20230217,20230217,"Airbnb, Inc.",1231,5992,8399.0,0,-352,1893.0,0,-0.05874499332443257,0.2253839742826527,,0.4017022696929239,-1.0,0.2841289676070853,
44,ABT,ABT US         d,1800,2021,0001104659-22-025141,10-K,20211231,20220218,20220218,ABBOTT LABORATORIES,1231,0,43075,43653.0,0,7071,6933.0,,0.16415554265815438,0.15882069960827436,inf,0.013418456181079513,,-0.0053348430498800226
45,ABT,ABT US         d,1800,2022,0001628280-23-004026,10-K,20221231,20230217,20230217,ABBOTT LABORATORIES,1231,43075,43653.0,0,7071,6933.0,0,0.16415554265815438,0.15882069960827436,,0.013418456181079513,-1.0,-0.0053348430498800226,
46,ACN,ACN US         d,1467373,2020,0001467373-20-000376,10-K,20200831,20201022,20201022,Accenture plc,0831,0,44327.04,50533.39,0,5107.84,5906.81,,0.11523079366454426,0.11688924887089508,inf,0.14001273263452732,,0.0016584552063508146
47,ACN,ACN US         d,1467373,2021,0001467373-21-000229,10-K,20210831,20211015,20211015,Accenture plc,0831,44327.04,50533.39,61594.31,5107.84,5906.81,6877.17,0.11523079366454426,0.11688924887089508,0.11165268350274563,0.14001273263452732,0.2188833957112317,0.0016584552063508146,-0.005236565368149454
48,ACN,ACN US         d,1467373,2022,0001467373-22-000295,10-K,20220831,20221012,20221012,Accenture plc,0831,50533.39,61594.31,64111.75,5906.81,6877.17,6871.56,0.11688924887089508,0.11165268350274563,0.10718097696600078,0.2188833957112317,0.04087130775553785,-0.005236565368149454,-0.004471706536744849
49,ACN,ACN US         d,1467373,2023,0001467373-23-000324,10-K,20230831,20231012,20231012,Accenture plc,0831,61594.31,64111.75,0,6877.17,6871.56,0,0.11165268350274563,0.10718097696600078,,0.04087130775553785,-1.0,-0.004471706536744849,
50,ADBE,ADBE US        d,796343,2007,0001047469-08-000497,10-K,20071130,20080124,20080124,ADOBE SYSTEMS INC,1130,0,3157.88,3579.89,0,723.81,871.81,,0.22920756963532493,0.24352982912882798,inf,0.13363712363991023,,0.014322259493503048
51,ADBE,ADBE US        d,796343,2008,0000796343-09-000007,10-K,20081128,20090123,20090123,ADOBE SYSTEMS INC,1130,3157.88,3579.89,2945.85,723.81,871.81,386.51,0.22920756963532493,0.24352982912882798,0.13120491538944618,0.13363712363991023,-0.1771115872275405,0.014322259493503048,-0.1123249137393818
52,ADBE,ADBE US        d,796343,2009,0000796343-10-000003,10-K,20091127,20100122,20100122,ADOBE SYSTEMS INC,1130,3579.89,2945.85,3800,871.81,386.51,774.68,0.24352982912882798,0.13120491538944618,0.20386315789473683,-0.1771115872275405,0.28995026902252324,-0.1123249137393818,0.07265824250529065
53,ADBE,ADBE US        d,796343,2010,0000796343-11-000003,10-K,20101203,20110127,20110127,ADOBE SYSTEMS INC,1130,2945.85,3800,0,386.51,774.68,0,0.13120491538944618,0.20386315789473683,,0.28995026902252324,-1.0,0.07265824250529065,
54,ADM,ADM US         d,7084,2009,0000007084-09-000051,10-K,20090630,20090826,20090826,ARCHER DANIELS MIDLAND CO,0630,0,69207,80676,0,1684,2036,,0.024332798705333277,0.025236749467003817,inf,0.1657202306125103,,0.0009039507616705397
55,ADM,ADM US         d,7084,2011,0000007084-11-000028,10-K,20110630,20110825,20110824,ARCHER DANIELS MIDLAND CO,0630,69207,80676,90559,1684,2036,1375,0.024332798705333277,0.025236749467003817,0.015183471548934948,0.1657202306125103,0.12250235509940999,0.0009039507616705397,-0.010053277918068869
56,ADM,ADM US         d,7084,2012,0000007084-12-000034,10-K,20120630,20120827,20120824,ARCHER DANIELS MIDLAND CO,0630,80676,90559,90559,2036,1375,1375,0.025236749467003817,0.015183471548934948,0.015183471548934948,0.12250235509940999,0.0,-0.010053277918068869,0.0
