,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,CENTRAL INDEX KEY,FISCAL YEAR END
0,0000004904-00-000039,10-K405,19991231,20000324,Not found,AMERICAN ELECTRIC POWER COMPANY INC,0000004904,1231
1,0000037996-00-000019,10-K,19991231,20000316,Not found,FORD MOTOR CO,0000037996,1231
2,0000898430-00-003950,10-K,20000930,20001227,Not found,JACOBS ENGINEERING GROUP INC /DE/,0000052988,0930
3,0000060086-00-000011,10-K405,19991231,20000330,Not found,LOEWS CORP,0000060086,1231
4,0000912057-00-014257,10-K405,19991231,20000329,Not found,NORTHERN STATES POWER CO /MN/,0000072903,1231
5,0000100517-00-000003,10-K405,19991231,20000314,Not found,UAL CORP /DE/,0000100517,1231
6,0000898430-00-000676,10-K405,19991231,20000307,Not found,AMGEN INC,0000318154,1231
7,0000950144-00-005338,10-K,20000130,20000421,Not found,HOME DEPOT INC,0000354950,0131
8,0000702165-00-000037,10-K405,19991231,20000306,Not found,NORFOLK SOUTHERN CORP,0000702165,1231
9,0000940180-00-000356,10-K405,19991231,20000329,Not found,VENTAS INC,0000740260,1231
10,0000950130-00-001551,10-K405,19991231,20000324,Not found,VIACOM INC,0000813828,1231
11,0001005477-00-002600,10-K,19991231,20000329,Not found,AMPHENOL CORP /DE/,0000820313,1231
12,0000864749-00-000004,10-K,19991231,20000327,Not found,TRIMBLE NAVIGATION LTD /CA/,0000864749,1231
13,0000889812-00-001090,10-K,19991231,20000306,Not found,REGENERON PHARMACEUTICALS INC,0000872589,1231
14,0000889812-00-001375,10-K405,19991231,20000328,Not found,KIMCO REALTY CORP,0000879101,1231
15,0001012870-00-001770,10-K405,19991231,20000330,Not found,ESSEX PROPERTY TRUST INC,0000920522,1231
16,0000898430-00-000997,10-K405,19991231,20000329,Not found,TOTAL RENAL CARE HOLDINGS INC,0000927066,1231
17,0000943819-00-000018,10-K,20000630,20000925,Not found,RESMED INC,0000943819,0630
18,0001038357-00-000002,10-K405,19991231,20000302,Not found,PIONEER NATURAL RESOURCES CO,0001038357,1231
19,0000931763-00-000749,10-K,19991231,20000330,Not found,UNITED PARCEL SERVICE INC,0001090727,Not found
20,0000037996-01-000014,10-K,20001231,20010322,Not found,FORD MOTOR CO,0000037996,1231
21,0000060086-01-500005,10-K405,20001231,20010316,Not found,LOEWS CORP,0000060086,1231
22,0000060086-01-500006,10-K405/A,20001231,20010316,Not found,LOEWS CORP,0000060086,1231
23,0000100517-01-500040,10-K/A,20010509,20010509,Not found,UAL CORP /DE/,0000100517,1231
24,0000912057-01-544436,10-K405,20010929,20011221,Not found,APPLE COMPUTER INC,0000320193,0930
25,0000702165-01-000012,10-K405,20001231,20010305,Not found,NORFOLK SOUTHERN CORP,0000702165,1231
26,0000950130-01-500708,10-K,20001231,20010416,Not found,VENTAS INC,0000740260,1231
27,0000753308-01-500020,10-K/A,20001231,20010409,Not found,FPL GROUP INC,0000753308,1231
28,0000926236-01-500169,10-K,20010630,20010925,Not found,HENRY JACK & ASSOCIATES INC,0000779152,0630
29,0001095811-01-001886,10-K,20001230,20010329,Not found,CADENCE DESIGN SYSTEMS INC,0000813672,0102
30,0000912057-01-505632,10-K,20001231,20010330,Not found,AMPHENOL CORP /DE/,0000820313,1231
31,0000950147-01-500896,10-K405,20010331,20010515,Not found,MICROCHIP TECHNOLOGY INC,0000827054,0331
32,0000864749-01-000002,10-K,20001229,20010329,Not found,TRIMBLE NAVIGATION LTD /CA/,0000864749,1231
33,0001125282-01-000957,10-K,20001231,20010316,Not found,KIMCO REALTY CORP,0000879101,1231
34,0000950130-01-500161,10-K,20001130,20010216,Not found,MORGAN STANLEY DEAN WITTER & CO,0000895421,1130
35,0000920148-01-000003,10-K,20001231,20010309,Not found,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
36,0001012870-01-001399,10-K,20001231,20010330,Not found,ESSEX PROPERTY TRUST INC,0000920522,1231
37,0000898430-01-000980,10-K405,20001231,20010320,Not found,DAVITA INC,0000927066,1231
38,0000898430-01-001025,10-K405/A,20001231,20010326,Not found,DAVITA INC,0000927066,1231
39,0001032210-01-500087,10-K405,20001231,20010323,Not found,AMAZON COM INC,0001018724,1231
40,0001038357-01-000008,10-K405,20001231,20010227,Not found,PIONEER NATURAL RESOURCES CO,0001038357,1231
41,0000891020-01-500463,10-K,20010930,20011228,Not found,F5 NETWORKS INC,0001048695,0930
42,0000899243-01-000756,10-K,20001231,20010330,Not found,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
43,0000950123-01-506543,10-K405,20010630,20010921,Not found,COACH INC,0001116132,0630
44,0000898430-02-004661,10-K/A,20011229,20021227,Not found,AVERY DENNISON CORPORATION,0000008818,1231
45,0000950123-02-002088,10-K,20011231,20020301,Not found,DOVER CORP,0000029905,1231
46,0000912057-02-010471,10-K,20011231,20020319,Not found,EQUITABLE RESOURCES INC /PA/,0000033213,1231
47,0000928385-02-000915,10-K405,20011231,20020322,Not found,FEDERAL REALTY INVESTMENT TRUST,0000034903,1231
48,0000950152-02-001414,10-K,20011231,20020228,Not found,M&T BANK CORP,0000036270,1231
49,0000037996-02-000015,10-K,20011231,20020328,Not found,FORD MOTOR CO,0000037996,1231
50,0000950137-02-001868,10-K,20011231,20020329,Not found,XCEL ENERGY INC,0000072903,1231
51,0000912057-02-010621,10-K405,20011231,20020320,Not found,ROLLINS INC,0000084839,1231
52,0000100517-02-000009,10-K405,20020308,20020308,Not found,UAL CORP /DE/,0000100517,1231
53,0000899243-02-000577,10-K,20011231,20020311,Not found,MARATHON OIL CORP,0000101778,1231
54,0000950152-02-006756,10-K,20020628,20020903,Not found,HARRIS CORP /DE/,0000202058,0630
55,0000950152-02-004658,10-K/A,20010629,20020604,Not found,HARRIS CORP /DE/,0000202058,0630
56,0000912057-02-010203,10-K405,20011231,20020318,Not found,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
57,0000898430-02-000744,10-K,20011231,20020226,Not found,AMGEN INC,0000318154,1231
58,0001047469-02-007674,10-K,20020928,20021219,Not found,APPLE COMPUTER INC,0000320193,0930
59,0000950144-02-004155,10-K,20020203,20020419,Not found,HOME DEPOT INC,0000354950,0131
60,0000702165-02-000012,10-K,20011231,20020221,Not found,NORFOLK SOUTHERN CORP,0000702165,1231
61,0000707549-02-000010,10-K,20020630,20020912,Not found,LAM RESEARCH CORP,0000707549,0630
62,0000912057-02-038669,10-K,20020829,20021015,Not found,MICRON TECHNOLOGY INC,0000723125,0831
63,0000950152-02-005612,10-K,20020531,20020722,Not found,PAYCHEX INC,0000723531,0531
64,0000926236-02-000174,10-K,20020630,20020926,Not found,HENRY JACK & ASSOCIATES INC,0000779152,0630
65,0001032210-02-001351,10-K,20020630,20020906,Not found,MICROSOFT CORP,0000789019,0630
66,0000912057-02-012516,10-K405,20011231,20020329,Not found,VIACOM INC,0000813828,1231
67,0000827052-02-000011,10-K,20011231,20020329,Not found,EDISON INTERNATIONAL,0000827052,1231
68,0000950147-02-000745,10-K,20020331,20020603,Not found,MICROCHIP TECHNOLOGY INC,0000827054,0331
69,0000891618-02-002836,10-K,20020329,20020614,Not found,SYMANTEC CORP,0000849399,0402
70,0000864749-02-000015,10-K,20011228,20020328,Not found,TRIMBLE NAVIGATION LTD /CA/,0000864749,1231
71,0000864749-02-000021,10-K/A,20011228,20020408,Not found,TRIMBLE NAVIGATION LTD /CA/,0000864749,1231
72,0000950144-02-010940,10-K,20020831,20021031,Not found,AUTOZONE INC,0000866787,0830
73,0000950123-02-002817,10-K,20011231,20020322,Not found,REGENERON PHARMACEUTICALS INC,0000872589,1231
74,0000912057-02-012961,10-K,20011231,20020401,Not found,IDEC PHARMACEUTICALS CORP / DE,0000875045,1231
75,0000912057-02-011604,10-K405,20011231,20020326,Not found,ZEBRA TECHNOLOGIES CORP/DE,0000877212,1231
76,0001125282-02-000906,10-K405,20011231,20020322,Not found,KIMCO REALTY CORP,0000879101,1231
77,0000950123-02-001815,10-K405,20011130,20020222,Not found,GOLDMAN SACHS GROUP INC/,0000886982,1126
78,0001021408-02-004494,10-K,20011231,20020329,Not found,ESSEX PROPERTY TRUST INC,0000920522,1231
79,0000922224-02-000003,10-K405,20011231,20020301,Not found,PPL CORP,0000922224,1231
80,0000935703-02-000009,10-K,20011231,20020314,Not found,DOLLAR TREE STORES INC,0000935703,1231
81,0001032210-02-000059,10-K405,20011231,20020124,Not found,AMAZON COM INC,0001018724,1231
82,0001038357-02-000007,10-K405,20011231,20020307,Not found,PIONEER NATURAL RESOURCES CO,0001038357,1231
83,0000891020-02-002051,10-K,20020930,20021219,Not found,F5 NETWORKS INC,0001048695,0930
84,0000931763-02-002489,10-K,20020531,20020719,Not found,FEDEX CORP,0001048911,0531
85,0000899243-02-000902,10-K,20011231,20020401,Not found,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
86,0000950133-02-001247,10-K405,20011231,20020328,Not found,COSTAR GROUP INC,0001057352,1231
87,0000950135-02-001140,10-K405,20011231,20020227,Not found,AKAMAI TECHNOLOGIES INC,0001086222,1231
88,0000891618-02-005622,10-K,20021031,20021220,Not found,AGILENT TECHNOLOGIES INC,0001090872,1031
89,0000950148-02-000625,10-K405,20011230,20020318,Not found,TELEDYNE TECHNOLOGIES INC,0001094285,1231
90,0000912057-02-011188,10-K405,20011231,20020322,Not found,EDWARDS LIFESCIENCES CORP,0001099800,1231
91,0000950123-02-009068,10-K,20020629,20020920,Not found,COACH INC,0001116132,0630
92,0000912057-02-012206,10-K,20011231,20020328,Not found,NASDAQ STOCK MARKET INC,0001120193,1231
93,0001121788-02-000003,10-K405,20011229,20020327,Not found,GARMIN LTD,0001121788,1230
94,0001126328-02-000031,10-K,20011231,20020312,Not found,PRINCIPAL FINANCIAL GROUP INC,0001126328,1231
95,0001047469-03-010810,10-K,20021231,20030328,Not found,BRISTOL MYERS SQUIBB CO,0000014272,1231
96,0001047469-03-007529,10-K,20021031,20030303,Not found,EQUITABLE RESOURCES INC /PA/,0000033213,1231
97,0000928385-03-000860,10-K,20021231,20030326,Not found,FEDERAL REALTY INVESTMENT TRUST,0000034903,1231
98,0000950128-03-000281,10-K,20021231,20030227,Not found,M&T BANK CORP,0000036270,1231
99,0000037996-03-000013,10-K,20021231,20030314,Not found,FORD MOTOR CO,0000037996,1231
100,0001047469-03-008450,10-K,20021231,20030312,Not found,MCDONALDS CORP,0000063908,1231
101,0001045969-03-000773,10-K,20021231,20030326,Not found,UNITED DOMINION REALTY TRUST INC,0000074208,1231
102,0001047469-03-009199,10-K,20021231,20030319,Not found,PACKAGING CORP OF AMERICA,0000075677,1231
103,0000899243-03-000495,10-K,20021231,20030310,Not found,MARATHON OIL CORP,0000101778,1231
104,0000950152-03-007977,10-K,20030627,20030828,Not found,HARRIS CORP /DE/,0000202058,0630
105,0001047469-03-010372,10-K,20021231,20030326,Not found,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
106,0001047469-03-010294,10-K,20021231,20030326,Not found,AON CORP,0000315293,1231
107,0000898430-03-001854,10-K,20021231,20030310,Not found,AMGEN INC,0000318154,1231
108,0001193125-03-031022,10-K,20030531,20030807,Not found,NIKE INC,0000320187,0531
109,0001047469-03-041604,10-K,20030927,20031219,Not found,APPLE COMPUTER INC,0000320193,0930
110,0001047469-03-033422,10-K,20030828,20031015,Not found,MICRON TECHNOLOGY INC,0000723125,0831
111,0000950152-03-007265,10-K,20030531,20030801,Not found,PAYCHEX INC,0000723531,0531
112,0001193125-03-045632,10-K,20030630,20030905,Not found,MICROSOFT CORP,0000789019,0630
113,0001047469-03-010441,10-K,20021231,20030327,Not found,VIACOM INC,0000813828,1231
114,0001104659-03-005299,10-K,20021231,20030328,Not found,AMPHENOL CORP /DE/,0000820313,1231
115,0001047469-03-026319,10-K/A,20021231,20030805,Not found,AMPHENOL CORP /DE/,0000820313,1231
116,0000950147-03-000708,10-K,20030331,20030605,Not found,MICROCHIP TECHNOLOGY INC,0000827054,0331
117,0000891618-03-003056,10-K,20030328,20030616,Not found,SYMANTEC CORP,0000849399,0402
118,0001193125-03-098850,10-K,20030927,20031223,Not found,HOLOGIC INC,0000859737,0930
119,0000950144-03-004080,10-K,20021231,20030328,Not found,HCA INC/TN,0000860730,1231
120,0000950123-03-003582,10-K,20021231,20030331,Not found,REGENERON PHARMACEUTICALS INC,0000872589,1231
121,0001047469-03-011017,10-K,20021231,20030331,Not found,IDEC PHARMACEUTICALS CORP / DE,0000875045,1231
122,0001047469-03-007605,10-K,20021231,20030304,Not found,ZEBRA TECHNOLOGIES CORP/DE,0000877212,1231
123,0001021408-03-004927,10-K,20021231,20030326,Not found,OLD DOMINION FREIGHT LINE INC/VA,0000878927,1231
124,0001125282-03-002483,10-K,20021231,20030327,Not found,KIMCO REALTY CORP,0000879101,1231
125,0001047469-03-011015,10-K,20021231,20030331,Not found,USA INTERACTIVE,0000891103,1202
126,0000950130-03-001275,10-K,20021130,20030219,Not found,MORGAN STANLEY,0000895421,1130
127,0000950131-03-001690,10-K,20021231,20030327,Not found,ACE LTD,0000896159,1231
128,0000928385-03-000218,10-K,20021231,20030207,Not found,NVR INC,0000906163,1231
129,0001193125-03-085292,10-K,20030831,20031121,Not found,COSTCO WHOLESALE CORP /NEW,0000909832,0830
130,0000920148-03-000070,10-K,20021231,20030328,Not found,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
131,0000920522-03-000011,10-K,20021231,20030331,Not found,ESSEX PROPERTY TRUST INC,0000920522,1231
132,0000935703-03-000010,10-K,20021231,20030328,Not found,DOLLAR TREE STORES INC,0000935703,1231
